glyph_name,ps_name,sort_design,sort_final
Acircumflex,Acircumflex,11036.18,199
Atilde,Atilde,11036.29,174
Adieresis,Adieresis,11036.24,98
Aring,Aring,11036.28,99
Ccedilla,Ccedilla,11038.1,100
Egrave,Egrave,11040.28,203
Eacute,Eacute,11040.1,101
Ecircumflex,Ecircumflex,11040.2,200
Edieresis,Edieresis,11040.26,202
Igrave,Igrave,11044.11,207
Iacute,Iacute,11044.11,204
Icircumflex,Icircumflex,11044.11,205
Idieresis,Idieresis,11044.11,206
Ntilde,Ntilde,11049.1,102
Ograve,Ograve,11050.2,211
Oacute,Oacute,11050.11,208
Ocircumflex,Ocircumflex,11050.12,209
Otilde,Otilde,11050.29,175
Odieresis,Odieresis,11050.18,103
Ugrave,Ugrave,11056.15,214
Uacute,Uacute,11056.11,212
Ucircumflex,Ucircumflex,11056.12,213
Udieresis,Udieresis,11056.13,104
Yacute,Yacute,11060.11,11060.11
agrave,agrave,11068.26,106
aacute,aacute,11068.11,105
acircumflex,acircumflex,11068.18,107
atilde,atilde,11068.29,109
adieresis,adieresis,11068.24,108
aring,aring,11068.28,110
ccedilla,ccedilla,11070.1,111
egrave,egrave,11072.2,113
eacute,eacute,11072.11,112
ecircumflex,ecircumflex,11072.12,114
edieresis,edieresis,11072.18,115
igrave,igrave,11076.16,117
iacute,iacute,11076.11,116
icircumflex,icircumflex,11076.13,118
idieresis,idieresis,11076.14,119
ntilde,ntilde,11081.1,120
ograve,ograve,11082.2,122
oacute,oacute,11082.11,121
ocircumflex,ocircumflex,11082.12,123
otilde,otilde,11082.29,125
odieresis,odieresis,11082.18,124
ugrave,ugrave,11088.15,127
uacute,uacute,11088.11,126
ucircumflex,ucircumflex,11088.12,128
udieresis,udieresis,11088.13,129
yacute,yacute,11092.11,11092.11
ydieresis,ydieresis,11092.12,186
Scaron,Scaron,11054.1,11054.1
scaron,scaron,11086.1,11086.1
Ydieresis,Ydieresis,11060.12,187
Zcaron,Zcaron,11061.1,11061.1
zcaron,zcaron,11093.1,11093.1
hyphentwo,uni2010,15670.1,15670.1
hyphenationpoint,uni2027,15390.2,15390.2
fi,fi,11073.1,192
fl,fl,11073.2,193
space,uni0020,,
nbspace,uni00A0,,
softhyphen,uni00AD,15680.6,15680.6
uni0102,Abreve,11036.12,11036.12
uni0103,abreve,11068.12,11068.12
uni0128,Itilde,11044.11,11044.11
uni0129,itilde,11076.18,11076.18
uni0168,Utilde,11056.23,11056.23
uni0169,utilde,11088.23,11088.23
graphemejoinercomb,uni034F,19300.1,19300.1
e-cans,uni1401,,
aai-cans,uni1402,,
i-cans,uni1403,,
ii-cans,uni1404,,
o-cans,uni1405,,
oo-cans,uni1406,,
ooYCree-cans,uni1407,,
eCarrier-cans,uni1408,,
iCarrier-cans,uni1409,,
a-cans,uni140A,,
aa-cans,uni140B,,
we-cans,uni140C,,
weWCree-cans,uni140D,,
wi-cans,uni140E,,
wiWCree-cans,uni140F,,
wii-cans,uni1410,,
wiiWCree-cans,uni1411,,
wo-cans,uni1412,,
woWCree-cans,uni1413,,
woo-cans,uni1414,,
wooWCree-cans,uni1415,,
wooNaskapi-cans,uni1416,,
wa-cans,uni1417,,
waWCree-cans,uni1418,,
waa-cans,uni1419,,
waaWCree-cans,uni141A,,
waaNaskapi-cans,uni141B,,
ai-cans,uni141C,,
wYCree-cans,uni141D,,
glottalstop-cans,uni141E,,
finalacute-cans,uni141F,,
finalgrave-cans,uni1420,,
finalbottom-cans,uni1421,,
finaltophalfring-cans,uni1422,,
finalrighthalfring-cans,uni1423,,
finalring-cans,uni1424,,
finaldbleacute-cans,uni1425,,
finaldbleshortvstrokes-cans,uni1426,,
finalmiddledot-cans,uni1427,,
finalshorthstroke-cans,uni1428,,
finalplus-cans,uni1429,,
finaldowntack-cans,uni142A,,
en-cans,uni142B,,
in-cans,uni142C,,
on-cans,uni142D,,
an-cans,uni142E,,
pe-cans,uni142F,,
paai-cans,uni1430,,
pi-cans,uni1431,,
pii-cans,uni1432,,
po-cans,uni1433,,
poo-cans,uni1434,,
pooYCree-cans,uni1435,,
heeCarrier-cans,uni1436,,
hiCarrier-cans,uni1437,,
pa-cans,uni1438,,
paa-cans,uni1439,,
pwe-cans,uni143A,,
pweWestCree-cans,uni143B,,
pwi-cans,uni143C,,
pwiWestCree-cans,uni143D,,
pwii-cans,uni143E,,
pwiiWestCree-cans,uni143F,,
pwo-cans,uni1440,,
pwoWestCree-cans,uni1441,,
pwoo-cans,uni1442,,
pwooWestCree-cans,uni1443,,
pwa-cans,uni1444,,
pwaWestCree-cans,uni1445,,
pwaa-cans,uni1446,,
pwaaWestCree-cans,uni1447,,
pwaYCree-cans,uni1448,,
p-cans,uni1449,,
pWestCree-cans,uni144A,,
hCarrier-cans,uni144B,,
te-cans,uni144C,,
taai-cans,uni144D,,
ti-cans,uni144E,,
tii-cans,uni144F,,
to-cans,uni1450,,
too-cans,uni1451,,
tooYCree-cans,uni1452,,
deeCarrier-cans,uni1453,,
diCarrier-cans,uni1454,,
ta-cans,uni1455,,
taa-cans,uni1456,,
twe-cans,uni1457,,
tweWestCree-cans,uni1458,,
twi-cans,uni1459,,
twiWestCree-cans,uni145A,,
twii-cans,uni145B,,
twiiWestCree-cans,uni145C,,
two-cans,uni145D,,
twoWestCree-cans,uni145E,,
twoo-cans,uni145F,,
twooWestCree-cans,uni1460,,
twa-cans,uni1461,,
twaWestCree-cans,uni1462,,
twaa-cans,uni1463,,
twaaWestCree-cans,uni1464,,
twaNaskapi-cans,uni1465,,
t-cans,uni1466,,
tte-cans,uni1467,,
tti-cans,uni1468,,
tto-cans,uni1469,,
tta-cans,uni146A,,
ke-cans,uni146B,,
kaai-cans,uni146C,,
ki-cans,uni146D,,
kii-cans,uni146E,,
ko-cans,uni146F,,
koo-cans,uni1470,,
kooYCree-cans,uni1471,,
ka-cans,uni1472,,
kaa-cans,uni1473,,
kwe-cans,uni1474,,
kweWestCree-cans,uni1475,,
kwi-cans,uni1476,,
kwiWestCree-cans,uni1477,,
kwii-cans,uni1478,,
kwiiWestCree-cans,uni1479,,
kwo-cans,uni147A,,
kwoWestCree-cans,uni147B,,
kwoo-cans,uni147C,,
kwooWestCree-cans,uni147D,,
kwa-cans,uni147E,,
kwaWestCree-cans,uni147F,,
kwaa-cans,uni1480,,
kwaaWestCree-cans,uni1481,,
kwaaNaskapi-cans,uni1482,,
k-cans,uni1483,,
kw-cans,uni1484,,
keSouthSlavey-cans,uni1485,,
kiSouthSlavey-cans,uni1486,,
koSouthSlavey-cans,uni1487,,
kahSouthSlavey-cans,uni1488,,
ce-cans,uni1489,,
caai-cans,uni148A,,
ci-cans,uni148B,,
cii-cans,uni148C,,
co-cans,uni148D,,
coo-cans,uni148E,,
cooYCree-cans,uni148F,,
ca-cans,uni1490,,
caa-cans,uni1491,,
cwe-cans,uni1492,,
cweWestCree-cans,uni1493,,
cwi-cans,uni1494,,
cwiWestCree-cans,uni1495,,
cwii-cans,uni1496,,
cwiiWestCree-cans,uni1497,,
cwo-cans,uni1498,,
cwoWestCree-cans,uni1499,,
cwoo-cans,uni149A,,
cwooWestCree-cans,uni149B,,
cwa-cans,uni149C,,
cwaWestCree-cans,uni149D,,
cwaa-cans,uni149E,,
cwaaWestCree-cans,uni149F,,
cwaaNaskapi-cans,uni14A0,,
c-cans,uni14A1,,
thSayisi-cans,uni14A2,,
me-cans,uni14A3,,
maai-cans,uni14A4,,
mi-cans,uni14A5,,
mii-cans,uni14A6,,
mo-cans,uni14A7,,
moo-cans,uni14A8,,
mooYCree-cans,uni14A9,,
ma-cans,uni14AA,,
maa-cans,uni14AB,,
mwe-cans,uni14AC,,
mweWestCree-cans,uni14AD,,
mwi-cans,uni14AE,,
mwiWestCree-cans,uni14AF,,
mwii-cans,uni14B0,,
mwiiWestCree-cans,uni14B1,,
mwo-cans,uni14B2,,
mwoWestCree-cans,uni14B3,,
mwoo-cans,uni14B4,,
mwooWestCree-cans,uni14B5,,
mwa-cans,uni14B6,,
mwaWestCree-cans,uni14B7,,
mwaa-cans,uni14B8,,
mwaaWestCree-cans,uni14B9,,
mwaaNaskapi-cans,uni14BA,,
m-cans,uni14BB,,
mWestCree-cans,uni14BC,,
mh-cans,uni14BD,,
mAthapascan-cans,uni14BE,,
mSayisi-cans,uni14BF,,
ne-cans,uni14C0,,
